name;license;last_updated;lang;url;authors;affiliations;publications;interface_for;used_by;comment;
Name;License;End;Language;URL;Affiliations;Institutions;Publications;Interfaces;Used in;Description / Comment;
ABCD;CC0;2000;C;;Armin Biere::https://github.com/arminbiere;JKU Linz;;;;;
Alliance;;1997;;;;;;;;;DVO
BinaryDecisionDiagrams (andreaswolf);;2014;PHP;https://github.com/andreaswolf/BinaryDecisionDiagrams;https://github.com/andreaswolf;;;;;;
BBDD;;;;https://www.epfl.ch/labs/lsi/page-102566-en-html/bbdd/;Amaru et al.;Swiss Federal Institute of Technology, Lausanne;An Efficient Manipulation Package for Biconditional Binary Decision Diagrams, 2014, MORE;;;;
bdd14;;;;https://www-cs-faculty.stanford.edu/~knuth/programs/bdd14.w;Donald Knuth;;;;;;
bdd15;;;;https://www-cs-faculty.stanford.edu/~knuth/programs/bdd15.w;Donald Knuth;;;;;ZDD;
BDDC;;2000;;;Pascal Raymond;CNRS, Grenoble;BDDC v2 A basic bdd-based logical calculator;;;;
BDDNOW;;1998;;;;;;;;;
BDDSharp;MIT;2017;C#;https://github.com/ancailliau/BDDSharp;Antoine Cailliau;Université Catholique de Louvain;;;;;
BDS;NC-Aca;2001;;http://www.ecs.umass.edu/ece/labs/vlsicad/bds/bds.html;Congguang Yang, Maciej Ciesielski, Alan Mishchenko;University of Massachusetts, Amherst;;;;;
BeeDeeDee;GPL-3.0;2018;Java;https://github.com/JuliaSoft/BeeDeeDee;https://github.com/albertolovato, https://github.com/spoto, https://github.com/ths11, https://github.com/SCiprian, https://github.com/tim-hoffman;;;;;;
Biddy;GPL-2.0;2020;C;https://github.com/meolic/biddy;Robert Meolioc;University of Maribor;;;;;
boolean_expressions;MIT;2021;Rust;https://github.com/cfallin/boolean_expression;https://github.com/cfallin;;;;;;
BuDDy;CC0;;;;;University of Michigan;;;;Github Dead, mirrored under pysmt/repycudd;
BuDDy:utwente-fmt;;2017;;https://github.com/utwente-fmt/buddy;;University of Twente;;;;Contribution unclear?;
BuDDySharp;MIT;2016;C#, C;https://github.com/thisiscam/BuDDySharp;Cambridge Yang;MIT;;;;;
CacBDD;;2019;C++;https://github.com/soga-denken/cacBDD;Shota Soga;Central Research Institute of Electric Power Industry, Japan;;;;;
Cal BDD;;;;http://vlsicad.eecs.umich.edu/BK/Slots/cache/www-cad.eecs.berkeley.edu/Respep/Research/bdd/cal_bdd/;;University of California, Berkley;;;;Download broken;
Chain-CUDD;BSD-3;2017;;https://github.com/rebryant/Chain-CUDD;Randal E. Bryant;Carnegie Mellon University;;CUDD-2.5.1;;Archived.;
CL-CUDD;;2013;Common Lisp;https://github.com/Neronus/CL-CUDD;https://github.com/rpgoldman, https://github.com/Neronus;;;CUDD-?;;;
Clj-bdd;EPL-1.0;2014;Clojure;https://github.com/dcreager/clj-bdd;Douglas Creager;;;;;;
Cloud-CUDD;BSD-3;2021;;https://github.com/rebryant/Cloud-BDD;Randal E. Bryant;Carnegie Mellon University;;CUDD-3.0.0;;;
CMU;;;;http://www.cs.cmu.edu/afs/cs/project/modck/pub/www/bdd.html;;Carnegie Mellon University;;;;;
CNF2OBDD;;;C;http://www.sd.is.uec.ac.jp/toda/code/cnf2obdd.html;Takahisa Toda;UEC Tokio;;;;Same as `BDD_MINISAT_ALL`;
cpachecker;Apache-2.0;2021;SWIG, Java,;https://github.com/sosy-lab/cpachecker;Philipp Wendler;@sosy-lab, LMU Munich;;JavaBDD;;;
CUDD;BSD-3;;C, C++;https://github.com/ivmai/cudd;;University of Colorado, Boulder;;;;;
cudd_rust;BSD-3;2015;C, Rust;https://github.com/malie/cudd_rust;https://github.com/malie;;;CUDD-2.5.1;;;
Cudd-rb;MIT;2013;Ruby;https://github.com/blambeau/cudd-rb;https://github.com/blambeau;;;CUDD-?;;;
CUDDVC;;2015;;https://github.com/lpradel/CUDDVC-2.5.0;;;;;;Contribution unclear?;
dd;BSD-3;2020;Python;https://github.com/tulip-control/dd;;;;CUDD-3.0.0, BuDDy, Sylvan;;;
DDDMP;;;C;http://fmgroup.polito.it/quer/research/tool/tool.htm;;Politecnico di Torino;;CUDD-2.4.0;;;
djbdd;GPL-3.0;2020;Java;https://github.com/diegojromerolopez/djbdd;https://github.com/diegojromerolopez;;;;;;
EHV;;;;;;;;;;;
ericvoid.robdd;;2013;Python;https://github.com/ericvoid/robdd;https://github.com/ericvoid;;;;;;
EVMDD;GPL-3.0;2017;C;https://github.com/siminice/EVMDD;https://github.com/siminice;;;;;;
EXTRA;;;C, C++;https://people.eecs.berkeley.edu/~alanmi/research/extra/;;University of California, Berkley;;CUDD-2.3.1;;;
filliatre.ocaml;LGPL-2.0;2010;OCaml;https://www.lri.fr/~filliatr/ftp/ocaml/bdd/;Jean-Christophe Filliatre;https://www.lri.fr/index.php;;;;;
Graphillion;MIT;2020;C++, Python;https://github.com/takemaru/graphillion;https://github.com/takemaru;;;TdZDD;;;
harrisson.ocaml;BSD-3;2007;OCaml;https://www.cl.cam.ac.uk/~jrh13/atp/OCaml/;John Harrison;University of Cambridge;;;;;
HasCacBDD;GPL-2.0;2020;C++, Haskell;https://github.com/m4lvin/HasCacBDD;Malvin Gattinger;University of Groningen;;CacBDD;;;
haskell_cudd;;2017;Haskell, C;https://github.com/adamwalker/haskell_cudd;Adam Walker, Mario Wenzel;;;CUDD-3.0.0;;;
Haskell-obdd;GPL-2.0;2018;Haskell;https://github.com/jwaldmann/haskell-obdd;jwaldmann, Luna Stadler;;;;;;
hBDD;GPL-2.0;2015;Haskell, C;https://github.com/peteg/hBDD;Peter Gammie, Masahiro Sakai;;;CUDD-2.4.1, CMU;;;
hgoes.bdd;;2011;Haskell;https://github.com/hgoes/bdd;Henning Goes;;;;;;
Hs-cudd;;2014;C, Haskell;https://github.com/bradlarsen/hs-cudd;Brad Larsen;;;CUDD-2.5.0;;;
HumbleBDD;MIT;2015;Java;https://github.com/powerofpi/HumbleBDD;https://github.com/powerofpi;Iowa State University;;;;;
JADE;;2002;Java;http://www.informatik.uni-bremen.de/agra/eng/jade.php;Rolf Drechsler, Jochen Römmler;University of Bremen, Germany;;;;;
Java-bdd-applet;;1998;Java;https://tams.informatik.uni-hamburg.de/applets/java-bdd/;;;;;;;
JavaBDD;LGPL-2.0;2007;Java;http://javabdd.sourceforge.net/index.html;John Whaley;Stanford;;CUDD-?, BuDDy, CAL, JDD;;;
JBDD;zlib;2015;Java;https://bitbucket.org/vahidi/jbdd/src/master/;https://github.com/avahidi;;;CUDD-?, BuDDy-?;;;
jcaesar.bdd;;2016;Isabelle;https://github.com/jcaesar/bdd;https://github.com/jcaesar, https://github.com/ammbauer;;;;;Proofs: https://www.isa-afp.org/entries/ROBDD.html;
JDD;zlib;2019;Java;https://bitbucket.org/vahidi/jdd/src/master/;https://github.com/avahidi;;;;;;
Jedd;LGPL-2.1;2008;Java;http://www.sable.mcgill.ca/jedd/;;McGill University;;BuDDy, CUDD, SableJBDD, JavaBDD;;;
JINC;;2010;;https://bonndoc.ulb.uni-bonn.de/xmlui/handle/20.500.11811/4665, http://jossowski.de/jinc/;Jörn Ossowski;University of Bonn, Germany;;;;;
johnpmayer.robdd;;2011;Haskell;https://github.com/johnpmayer/robdd;John P Mayer, Jr;;;;;;
jsylvan;Apache-2.0;2018;Java, C;https://github.com/utwente-fmt/jsylvan;Tom van Dijk, Thomas Neele;University of Twente;;Sylvan;;;
LaVaBDD;;2010;C++;http://di.ulb.ac.be/ssd/nmaquet/lavabdd/0.4/doc/index.html;Nicolas Maquet ;Université Libre de Bruxelles;;;;;
libDDD;LGPL-3.0;2021;C++;https://github.com/lip6/libDDD, https://lip6.github.io/ITSTools-web/;Yann Thierry-Mieg, Maximilien Colange, Alexandre Hamez, Maxime Audinot, Alexandre Duret-Lutz;;;;;;
libDDD;BSD-2;2017;C;https://github.com/vmikhav/liBDD;Volodymyr Mikhav;;;;;;
libsdd;BSD-2;2021;C++;;https://github.com/ahamez, https://github.com/kyouko-taiga;;Hierarchical Decision Diagrams to Exploit Model Structure;;;;
libvata;GPL-3.0;2019;C++;;Ondra Lengál, Martin Hruška;;;;;MTBDDs;
LightBDD;MIT;2018;Java;https://github.com/SigmaX/LightBDD;Eric Scott;George Mason University, Virginia, USA;;;;;
marduk;LGPL;2015;Python;https://github.com/johnyf/marduk;Georg Hofferek, Ioannis Filippidis;TU Graz;;CUDD-?;NuSMV;BDD, ZDD;
Mccarthy-to-bryant;GPL-3.0;2017;Python, Lua, JS;https://github.com/darius/mccarthy-to-bryant;Darius Bacon;;;;;;
MEDDLY;LGPL-3.0;2018;C++;https://meddly.sourceforge.io/;;Iowa State University;;;;;
mg50.ZDD;;2013;Haskell;https://github.com/mg50/ZDD;Mark Grant;;;;;;
mlbdd;MIT;2020;OCaml;https://github.com/arlencox/mlbdd;https://github.com/arlencox, https://github.com/JoanThibault, https://github.com/chambart;;;;;;
mlcuddidl ;LGPL-2.1;;C, C++;https://github.com/thizanne/mlcuddidl;;;;CUDD-2.4.2;;;
MONA;;;;;;University of Potsdam;;;;;
MONA;GPL-2.0;2020;C, C++;https://github.com/cs-au-dk/MONA;Nils Klarlund, Anders Møller::https://github.com/amoeller;Aarhus University;;;;;
MORE;;;;;;;;;;;
muddy;MIT;2010;OCaml, C;https://github.com/kfl/muddy;https://github.com/kfl;University of Kopenhagen;;BuDDy;;;
Ocaml-buddy;LGPL-3.0;2013;OCaml, C;https://github.com/abate/ocaml-buddy;https://github.com/abate;Inria;;BuDDy;;;
Ocaml-cudd;GPL-2.0;2016;OCaml, C;https://github.com/romainbrenguier/ocaml-cudd;https://github.com/romainbrenguier;;;CUDD-2.5.0;;;
pat.BDD;;;C#;https://www.comp.nus.edu.sg/~pat/bddlib/;ruong Khanh Nguyen, Jun Sun, Yang Liu, Jin Song Dong, Yan Liu;;TODO (website);CUDD-2.4.2;;MTBDDs;
PBDD;BSD-3;2014;Python;https://github.com/tyler-utah/PBDD;Tyler Sorensen;University of California, Santa Cruz;;;;;
PBF;;;;;Bwolen Yang;;;;;;
PDT;;;;;;;;;;;
pubkey.binary-decision-diagram;Apache-2.0;2020;TypeScript;https://github.com/pubkey/binary-decision-diagram;https://github.com/pubkey;;;;;;
PUMA;;;;;;;;;;;
Py-ydd;Apache-2.0;2015;Python, C++;https://github.com/kyouko-taiga/py-ydd;https://github.com/kyouko-taiga;University of Geneva, Switzerland;;;;;
PyCUDD;BSD-3;2015;;https://github.com/pysmt/repycudd;;University of California, Santa Barbara;;CUDD-?;;;
pyEDA;BSD-2;2015;Python;https://github.com/cjdrake/pyeda;Chris Drake;;;;;;
QuIDDPro;;2007;;http://vlsicad.eecs.umich.edu/Quantum/qp/index.html;George F. Viamontes, Igor L. Markov, John P. Hayes;University of Michigan;;;;;
RicBDD;GPL-2.0;2018;C++;https://github.com/ric2k1/RicBDD;Ric Huang;National Taiwan University, Taiwan;;;;;
robbed;;2018;Haskell;https://github.com/travitch/robbed;Tristan Ravitch, Matthew Pickering;;;;;;
Ruby-BDD;GPL-2.0;2006;Ruby;http://people.cs.aau.dk/~adavid/BDD/index.html;http://people.cs.aau.dk/~adavid/;University of Aalborg;;BuDDy;;;
seqbdd;;2012;Erlang;https://github.com/shu-den/seqbdd;Shuhei Denzumi;;;;;;
simpleCUDD;?;2009;;https://limo.libis.be/primo-explore/fulldisplay?docid=LIRIAS1652866&context=L&vid=Lirias&search_scope=Lirias&tab=default_tab&lang=en_US;Theofrastos Mantadelis;KU Leuven;;CUDD-?;;;
slava-sh.robdd;;2014;Haskell;https://github.com/slava-sh/robdd;Slava Shklyaev;;;;;;
StaticBDD;;;;;;;;;;;
swipl_cudd;;2014;C, Prolog;https://github.com/lagoonv/swipl_cudd;https://github.com/lagoonv;;;CUDD-2.5.0;;;
Sylvan;Apache-2.0;2020;C, C++;https://github.com/trolando/sylvan;Tom van Dijk, Jeroen Meijer, Ioannis Filippidis, Alfons Laarman, Matthias Volk;University of Twente, JKU Linz;;;;;
Sylvan-haskell;;2016;Haskell, C;https://github.com/adamwalker/sylvan-haskell;Adam Walker;;;Sylvan;;;
SylvanSharp;Apache-2.0;2016;C#, C;https://github.com/thisiscam/SylvanSharp;Cambridge Yang;MIT;;;;;
TdZdd;MIT;2020;C++;https://github.com/kunisura/TdZdd;Hiroaki Iwashita and Jun Kawahara and Kohei Shinohara;..., Japan;Symbolic Model-Checking Using ITS-Tools (TACAS’15);;;;
termite2.bdd;;2015;Haskell;https://github.com/termite2/bdd;Adam Walker;;;;;;
TiGeR;;;C;;;;;;;;
TiniBDD;;;;;;;;;;;
trivialib.bdd;LLGPL;2018;Common Lisp;https://github.com/guicho271828/trivialib.bdd;https://github.com/guicho271828;IBM Research;;;;;
TUDD;;;;;;;;;;;
upbdd;;2012;Prolog, C++;https://github.com/vale1410/upbdd;https://github.com/vale1410;TU Berlin, Germany;;;;;
wld;NC-Aca;2003;C++;https://ira.informatik.uni-freiburg.de/software/wld/index.html;Marc Herbstritt;University of Freiburg;;;;;
ZBDD;;2002;C;http://www.aloul.net/Tools/zbddLib/;Fadi A. Aloul::http://www.aloul.net/;American University of Sharjah, UAE;;CUDD-2.3.1;;;
ZDD;;2017;C++, Java;https://github.com/tanakalab/ZDD;;Kanagawa University, Japan;;;;;
zdd_java;;2014;Java;https://github.com/higotakayuki/zdd_java;https://github.com/higotakayuki;;;;;;
zddfun;;2009;C;https://github.com/blynn/zddfun;Ben Lynn;Stanford;;;;;
ZDDs.jl;MIT;2016;Julia;https://github.com/ngr-t/ZDDs.jl;https://github.com/ngr-t;;;;;;
